Serial,Salary,SalaryType,JobRole,Country,Seniority
1,140797,Yearly,Analyst,USA,Junior
2,144272,Yearly,Developer,USA,Junior
3,109,Hourly,Designer,USA,Senior
4,98,Hourly,Analyst,USA,Junior
5,103504,Yearly,Designer,Canada,Junior
6,98,Hourly,Designer,Germany,Senior
7,149753,Yearly,Designer,Germany,Senior
8,65,Hourly,Manager,Germany,Junior
9,113,Hourly,Developer,Canada,Junior
10,91410,Yearly,Analyst,USA,Junior
11,90,Hourly,Developer,USA,Junior
12,111,Hourly,Analyst,USA,Senior
13,96,Hourly,Manager,netherlands,Senior
14,44129,Yearly,Manager,Canada,Junior
15,76,Hourly,Developer,Germany,Junior
16,94,Hourly,Manager,USA,Senior
17,119,Hourly,Developer,Germany,Senior
18,94,Hourly,Developer,Canada,Junior
19,42716,Yearly,Designer,Canada,Senior
20,110,Hourly,Manager,netherlands,Junior
21,124967,Yearly,Manager,netherlands,Senior
22,66202,Yearly,Developer,USA,Junior
23,64,Hourly,Developer,Canada,Junior
24,140391,Yearly,Developer,Canada,Junior
25,46671,Yearly,Manager,netherlands,Senior
26,123622,Yearly,Developer,Germany,Senior
27,110294,Yearly,Manager,netherlands,Senior
28,77,Hourly,Analyst,Canada,Junior
29,28,Hourly,Designer,netherlands,Junior
30,131,Hourly,Analyst,Canada,Senior
31,118483,Yearly,Manager,netherlands,Senior
32,33380,Yearly,Manager,Germany,Senior
33,20,Hourly,Designer,USA,Junior
34,120448,Yearly,Manager,Canada,Senior
35,94,Hourly,Manager,netherlands,Senior
36,101,Hourly,Designer,netherlands,Senior
37,118,Hourly,Manager,netherlands,Junior
38,52204,Yearly,Designer,netherlands,Junior
39,130,Hourly,Designer,USA,Senior
40,81,Hourly,Manager,netherlands,Senior
41,100166,Yearly,Analyst,Canada,Senior
42,131955,Yearly,Manager,netherlands,Junior
43,26,Hourly,Analyst,Germany,Junior
44,82138,Yearly,Designer,netherlands,Junior
45,98,Hourly,Analyst,USA,Senior
46,97,Hourly,Designer,netherlands,Junior
47,73,Hourly,Developer,netherlands,Junior
48,17,Hourly,Manager,Canada,Senior
49,108808,Yearly,Manager,netherlands,Senior
50,142,Hourly,Manager,USA,Junior
51,40811,Yearly,Developer,USA,Junior
52,44794,Yearly,Analyst,USA,Junior
53,127593,Yearly,Manager,netherlands,Senior
54,146854,Yearly,Designer,USA,Junior
55,100199,Yearly,Designer,Germany,Senior
56,83400,Yearly,Designer,Canada,Senior
57,27,Hourly,Manager,Germany,Junior
58,47,Hourly,Manager,USA,Junior
59,68566,Yearly,Developer,USA,Senior
60,96500,Yearly,Analyst,USA,Senior
61,110,Hourly,Analyst,netherlands,Senior
62,129620,Yearly,Developer,USA,Junior
63,146698,Yearly,Designer,Canada,Junior
64,59243,Yearly,Manager,USA,Senior
65,80,Hourly,Manager,Germany,Junior
66,48,Hourly,Developer,netherlands,Junior
67,83,Hourly,Designer,netherlands,Junior
68,133,Hourly,Designer,USA,Senior
69,143,Hourly,Designer,Canada,Senior
70,126,Hourly,Manager,USA,Junior
71,52779,Yearly,Manager,Germany,Junior
72,62,Hourly,Analyst,Germany,Senior
73,42,Hourly,Manager,Germany,Senior
74,37,Hourly,Analyst,Canada,Senior
75,125,Hourly,Manager,Germany,Senior
76,35,Hourly,Manager,USA,Junior
77,92,Hourly,Developer,Germany,Junior
78,84,Hourly,Analyst,netherlands,Junior
79,36699,Yearly,Analyst,Canada,Junior
80,139872,Yearly,Analyst,Canada,Senior
81,81,Hourly,Analyst,netherlands,Senior
82,116,Hourly,Analyst,Germany,Junior
83,49906,Yearly,Manager,Canada,Junior
84,60147,Yearly,Designer,Canada,Senior
85,60515,Yearly,Manager,Germany,Junior
86,69,Hourly,Manager,netherlands,Junior
87,57413,Yearly,Designer,netherlands,Junior
88,125,Hourly,Manager,netherlands,Senior
89,111,Hourly,Developer,netherlands,Senior
90,76,Hourly,Analyst,netherlands,Junior
91,44,Hourly,Developer,netherlands,Senior
92,120,Hourly,Developer,USA,Junior
93,55616,Yearly,Developer,Canada,Junior
94,119,Hourly,Analyst,netherlands,Junior
95,119,Hourly,Manager,USA,Senior
96,63929,Yearly,Designer,USA,Senior
97,60960,Yearly,Developer,USA,Junior
98,44,Hourly,Analyst,netherlands,Senior
99,67824,Yearly,Analyst,Canada,Senior
100,37921,Yearly,Designer,Germany,Junior
101,128,Hourly,Developer,netherlands,Senior
102,29,Hourly,Analyst,Canada,Junior
103,54,Hourly,Analyst,Canada,Junior
104,77,Hourly,Manager,Germany,Senior
105,30,Hourly,Developer,Germany,Junior
106,84,Hourly,Analyst,Germany,Junior
107,125830,Yearly,Developer,Canada,Senior
108,134912,Yearly,Developer,USA,Junior
109,58840,Yearly,Analyst,Germany,Junior
110,115198,Yearly,Developer,USA,Senior
111,18,Hourly,Analyst,USA,Junior
112,47095,Yearly,Analyst,Germany,Senior
113,95529,Yearly,Developer,Germany,Senior
114,51,Hourly,Manager,Germany,Senior
115,106236,Yearly,Manager,Canada,Junior
116,150,Hourly,Developer,Canada,Junior
117,83546,Yearly,Designer,USA,Junior
118,113594,Yearly,Designer,Canada,Senior
119,58644,Yearly,Designer,Germany,Junior
120,59679,Yearly,Designer,netherlands,Senior
121,113203,Yearly,Manager,USA,Senior
122,51,Hourly,Manager,Canada,Junior
123,17,Hourly,Analyst,netherlands,Junior
124,149,Hourly,Manager,Germany,Junior
125,41968,Yearly,Developer,USA,Senior
126,94,Hourly,Designer,Canada,Junior
127,44645,Yearly,Designer,USA,Senior
128,103,Hourly,Manager,Canada,Senior
129,104884,Yearly,Designer,USA,Junior
130,112228,Yearly,Developer,USA,Senior
131,38,Hourly,Analyst,USA,Senior
132,47092,Yearly,Analyst,Germany,Junior
133,62,Hourly,Analyst,Canada,Senior
134,96569,Yearly,Manager,USA,Senior
135,85,Hourly,Manager,netherlands,Senior
136,92,Hourly,Designer,USA,Senior
137,148561,Yearly,Manager,Germany,Junior
138,33898,Yearly,Analyst,netherlands,Senior
139,92,Hourly,Designer,USA,Senior
140,64371,Yearly,Manager,Germany,Senior
141,135,Hourly,Manager,Germany,Senior
142,126445,Yearly,Analyst,USA,Senior
143,51,Hourly,Developer,Canada,Senior
144,89206,Yearly,Manager,netherlands,Junior
145,79918,Yearly,Developer,Germany,Senior
146,49,Hourly,Manager,netherlands,Senior
147,46521,Yearly,Designer,USA,Junior
148,131634,Yearly,Designer,netherlands,Junior
149,81,Hourly,Designer,Canada,Senior
150,111,Hourly,Analyst,Germany,Senior
151,95,Hourly,Analyst,Germany,Junior
152,42,Hourly,Designer,netherlands,Senior
153,129885,Yearly,Manager,USA,Senior
154,72410,Yearly,Developer,USA,Senior
155,47128,Yearly,Developer,Canada,Senior
156,82,Hourly,Developer,USA,Senior
157,142,Hourly,Developer,Germany,Senior
158,45,Hourly,Developer,netherlands,Senior
159,135,Hourly,Manager,Canada,Junior
160,122,Hourly,Manager,Germany,Senior
161,121352,Yearly,Developer,USA,Senior
162,77,Hourly,Analyst,USA,Junior
163,69865,Yearly,Designer,Canada,Senior
164,65,Hourly,Manager,Canada,Senior
165,63579,Yearly,Designer,netherlands,Junior
166,61,Hourly,Manager,Canada,Junior
167,121,Hourly,Designer,Canada,Senior
168,32416,Yearly,Developer,netherlands,Junior
169,79,Hourly,Developer,netherlands,Senior
170,48421,Yearly,Analyst,Germany,Senior
171,110150,Yearly,Manager,Canada,Junior
172,138,Hourly,Developer,USA,Junior
173,20,Hourly,Manager,Germany,Senior
174,96,Hourly,Analyst,netherlands,Senior
175,30377,Yearly,Analyst,Canada,Junior
176,81426,Yearly,Analyst,netherlands,Junior
177,101,Hourly,Manager,USA,Senior
178,108,Hourly,Designer,netherlands,Junior
179,87190,Yearly,Designer,USA,Junior
180,52,Hourly,Analyst,Canada,Senior
181,104,Hourly,Analyst,netherlands,Junior
182,99,Hourly,Manager,Canada,Junior
183,74931,Yearly,Manager,Germany,Junior
184,94087,Yearly,Analyst,Germany,Junior
185,54123,Yearly,Designer,Germany,Junior
186,103,Hourly,Analyst,netherlands,Junior
187,41941,Yearly,Developer,USA,Junior
188,19,Hourly,Manager,Germany,Senior
189,65285,Yearly,Designer,USA,Senior
190,47288,Yearly,Designer,USA,Junior
191,42040,Yearly,Designer,Canada,Senior
192,115945,Yearly,Developer,netherlands,Junior
193,141713,Yearly,Developer,Germany,Senior
194,66,Hourly,Developer,Canada,Senior
195,132,Hourly,Designer,USA,Junior
196,42377,Yearly,Manager,Germany,Junior
197,100194,Yearly,Manager,USA,Senior
198,121,Hourly,Developer,USA,Junior
199,74,Hourly,Designer,netherlands,Senior
200,97506,Yearly,Analyst,Canada,Junior
201,99,Hourly,Manager,Germany,Senior
202,58495,Yearly,Designer,netherlands,Junior
203,113,Hourly,Developer,Canada,Senior
204,136848,Yearly,Manager,netherlands,Junior
205,56,Hourly,Designer,Canada,Junior
206,54390,Yearly,Analyst,netherlands,Senior
207,133978,Yearly,Developer,Germany,Junior
208,93974,Yearly,Analyst,netherlands,Senior
209,119703,Yearly,Designer,Germany,Junior
210,93651,Yearly,Analyst,Canada,Senior
211,82868,Yearly,Developer,Canada,Senior
212,64087,Yearly,Manager,Germany,Senior
213,118231,Yearly,Analyst,Canada,Junior
214,133826,Yearly,Manager,Canada,Senior
215,66,Hourly,Developer,netherlands,Junior
216,66971,Yearly,Developer,USA,Junior
217,68,Hourly,Analyst,netherlands,Junior
218,140,Hourly,Developer,netherlands,Junior
219,105047,Yearly,Manager,Germany,Senior
220,141421,Yearly,Manager,netherlands,Junior
221,135,Hourly,Manager,USA,Senior
222,80069,Yearly,Designer,Germany,Senior
223,29,Hourly,Manager,netherlands,Senior
224,24,Hourly,Designer,netherlands,Junior
225,36850,Yearly,Designer,USA,Junior
226,134,Hourly,Analyst,USA,Senior
227,114,Hourly,Analyst,Canada,Junior
228,54,Hourly,Analyst,netherlands,Junior
229,22,Hourly,Analyst,netherlands,Junior
230,65,Hourly,Developer,netherlands,Senior
231,111709,Yearly,Manager,Germany,Senior
232,133504,Yearly,Designer,Canada,Senior
233,110872,Yearly,Analyst,Germany,Junior
234,117,Hourly,Manager,netherlands,Junior
235,93125,Yearly,Manager,Canada,Senior
236,52,Hourly,Manager,Canada,Senior
237,32505,Yearly,Analyst,netherlands,Senior
238,125484,Yearly,Developer,netherlands,Junior
239,113432,Yearly,Manager,USA,Senior
240,80356,Yearly,Designer,Germany,Junior
241,33,Hourly,Designer,Germany,Senior
242,40,Hourly,Analyst,Germany,Senior
243,36798,Yearly,Developer,Germany,Junior
244,35591,Yearly,Designer,USA,Senior
245,32434,Yearly,Developer,USA,Senior
246,45789,Yearly,Analyst,netherlands,Senior
247,127305,Yearly,Analyst,netherlands,Senior
248,132285,Yearly,Developer,Germany,Senior
249,81732,Yearly,Developer,Canada,Senior
250,80,Hourly,Analyst,netherlands,Senior
251,114935,Yearly,Analyst,netherlands,Senior
252,71624,Yearly,Developer,netherlands,Junior
253,125,Hourly,Analyst,Germany,Senior
254,144,Hourly,Manager,Canada,Junior
255,53,Hourly,Designer,USA,Senior
256,117,Hourly,Manager,netherlands,Senior
257,103942,Yearly,Analyst,USA,Junior
258,149,Hourly,Designer,netherlands,Senior
259,56,Hourly,Designer,netherlands,Junior
260,131485,Yearly,Designer,netherlands,Senior
261,82997,Yearly,Manager,Germany,Senior
262,149,Hourly,Manager,Canada,Senior
263,102957,Yearly,Developer,Germany,Senior
264,149977,Yearly,Manager,Canada,Senior
265,118461,Yearly,Analyst,Canada,Junior
266,146,Hourly,Developer,netherlands,Senior
267,86690,Yearly,Analyst,USA,Junior
268,108414,Yearly,Designer,Canada,Junior
269,100,Hourly,Developer,USA,Senior
270,112397,Yearly,Developer,Canada,Junior
271,127142,Yearly,Designer,Germany,Junior
272,139960,Yearly,Designer,Canada,Senior
273,33482,Yearly,Developer,USA,Senior
274,46437,Yearly,Manager,Germany,Senior
275,95727,Yearly,Designer,Canada,Senior
276,53,Hourly,Manager,netherlands,Junior
277,116036,Yearly,Manager,Canada,Junior
278,106357,Yearly,Manager,Germany,Junior
279,130710,Yearly,Analyst,USA,Senior
280,93574,Yearly,Designer,USA,Junior
281,86,Hourly,Designer,Canada,Junior
282,87,Hourly,Developer,USA,Junior
